instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,cnt,Season Name
228,2011-01-10,1,0,1,18,0,1,1,1,155,Spring
229,2011-01-10,1,0,1,19,0,1,1,1,95,Spring
230,2011-01-10,1,0,1,20,0,1,1,1,74,Spring
231,2011-01-10,1,0,1,21,0,1,1,1,38,Spring
232,2011-01-10,1,0,1,22,0,1,1,1,24,Spring
233,2011-01-10,1,0,1,23,0,1,1,1,18,Spring
234,2011-01-11,1,0,1,0,0,2,1,1,12,Spring
235,2011-01-11,1,0,1,1,0,2,1,1,3,Spring
236,2011-01-11,1,0,1,2,0,2,1,2,3,Spring
237,2011-01-11,1,0,1,5,0,2,1,2,6,Spring
238,2011-01-11,1,0,1,6,0,2,1,2,27,Spring
239,2011-01-11,1,0,1,7,0,2,1,2,99,Spring
240,2011-01-11,1,0,1,8,0,2,1,2,217,Spring
241,2011-01-11,1,0,1,9,0,2,1,2,130,Spring
242,2011-01-11,1,0,1,10,0,2,1,2,54,Spring
243,2011-01-11,1,0,1,11,0,2,1,2,35,Spring
244,2011-01-11,1,0,1,12,0,2,1,2,57,Spring
245,2011-01-11,1,0,1,13,0,2,1,2,52,Spring
246,2011-01-11,1,0,1,14,0,2,1,2,63,Spring
247,2011-01-11,1,0,1,15,0,2,1,2,47,Spring
248,2011-01-11,1,0,1,16,0,2,1,2,76,Spring
249,2011-01-11,1,0,1,17,0,2,1,2,136,Spring
250,2011-01-11,1,0,1,18,0,2,1,3,95,Spring
251,2011-01-11,1,0,1,19,0,2,1,3,51,Spring
252,2011-01-11,1,0,1,20,0,2,1,3,32,Spring
253,2011-01-11,1,0,1,21,0,2,1,3,20,Spring
254,2011-01-11,1,0,1,22,0,2,1,3,29,Spring
255,2011-01-11,1,0,1,23,0,2,1,3,19,Spring
256,2011-01-12,1,0,1,0,0,3,1,2,7,Spring
257,2011-01-12,1,0,1,1,0,3,1,2,6,Spring
258,2011-01-12,1,0,1,2,0,3,1,1,1,Spring
259,2011-01-12,1,0,1,5,0,3,1,1,5,Spring
260,2011-01-12,1,0,1,6,0,3,1,1,16,Spring
261,2011-01-12,1,0,1,7,0,3,1,1,54,Spring
262,2011-01-12,1,0,1,8,0,3,1,1,128,Spring
263,2011-01-12,1,0,1,9,0,3,1,1,81,Spring
264,2011-01-12,1,0,1,10,0,3,1,1,39,Spring
265,2011-01-12,1,0,1,11,0,3,1,1,35,Spring
266,2011-01-12,1,0,1,12,0,3,1,1,55,Spring
267,2011-01-12,1,0,1,13,0,3,1,1,49,Spring
268,2011-01-12,1,0,1,14,0,3,1,1,44,Spring
269,2011-01-12,1,0,1,15,0,3,1,1,49,Spring
270,2011-01-12,1,0,1,16,0,3,1,1,68,Spring
271,2011-01-12,1,0,1,17,0,3,1,1,139,Spring
272,2011-01-12,1,0,1,18,0,3,1,1,137,Spring
273,2011-01-12,1,0,1,19,0,3,1,1,83,Spring
274,2011-01-12,1,0,1,20,0,3,1,1,56,Spring
275,2011-01-12,1,0,1,21,0,3,1,1,57,Spring
276,2011-01-12,1,0,1,22,0,3,1,1,33,Spring
277,2011-01-12,1,0,1,23,0,3,1,1,20,Spring
278,2011-01-13,1,0,1,0,0,4,1,1,7,Spring
279,2011-01-13,1,0,1,1,0,4,1,1,2,Spring
280,2011-01-13,1,0,1,2,0,4,1,1,2,Spring
281,2011-01-13,1,0,1,3,0,4,1,1,3,Spring
282,2011-01-13,1,0,1,4,0,4,1,1,4,Spring
283,2011-01-13,1,0,1,5,0,4,1,1,3,Spring
284,2011-01-13,1,0,1,6,0,4,1,1,28,Spring
285,2011-01-13,1,0,1,7,0,4,1,1,72,Spring
286,2011-01-13,1,0,1,8,0,4,1,1,202,Spring
287,2011-01-13,1,0,1,9,0,4,1,1,139,Spring
288,2011-01-13,1,0,1,10,0,4,1,2,38,Spring
289,2011-01-13,1,0,1,11,0,4,1,2,37,Spring
290,2011-01-13,1,0,1,12,0,4,1,1,52,Spring
291,2011-01-13,1,0,1,13,0,4,1,1,83,Spring
292,2011-01-13,1,0,1,14,0,4,1,1,42,Spring
293,2011-01-13,1,0,1,15,0,4,1,1,60,Spring
294,2011-01-13,1,0,1,16,0,4,1,1,78,Spring
295,2011-01-13,1,0,1,17,0,4,1,1,162,Spring
296,2011-01-13,1,0,1,18,0,4,1,1,144,Spring
297,2011-01-13,1,0,1,19,0,4,1,1,99,Spring
298,2011-01-13,1,0,1,20,0,4,1,1,64,Spring
299,2011-01-13,1,0,1,21,0,4,1,1,40,Spring
300,2011-01-13,1,0,1,22,0,4,1,1,30,Spring
301,2011-01-13,1,0,1,23,0,4,1,1,15,Spring
302,2011-01-14,1,0,1,0,0,5,1,1,14,Spring
303,2011-01-14,1,0,1,1,0,5,1,1,5,Spring
304,2011-01-14,1,0,1,2,0,5,1,1,1,Spring
305,2011-01-14,1,0,1,3,0,5,1,1,1,Spring
306,2011-01-14,1,0,1,5,0,5,1,1,8,Spring
307,2011-01-14,1,0,1,6,0,5,1,1,17,Spring
308,2011-01-14,1,0,1,7,0,5,1,1,70,Spring
309,2011-01-14,1,0,1,8,0,5,1,1,158,Spring
310,2011-01-14,1,0,1,9,0,5,1,1,117,Spring
311,2011-01-14,1,0,1,10,0,5,1,1,44,Spring
312,2011-01-14,1,0,1,11,0,5,1,1,53,Spring
313,2011-01-14,1,0,1,12,0,5,1,1,61,Spring
314,2011-01-14,1,0,1,13,0,5,1,1,77,Spring
315,2011-01-14,1,0,1,14,0,5,1,1,64,Spring
316,2011-01-14,1,0,1,15,0,5,1,1,68,Spring
317,2011-01-14,1,0,1,16,0,5,1,1,90,Spring
318,2011-01-14,1,0,1,17,0,5,1,1,159,Spring
319,2011-01-14,1,0,1,18,0,5,1,1,139,Spring
320,2011-01-14,1,0,1,19,0,5,1,1,92,Spring
321,2011-01-14,1,0,1,20,0,5,1,1,68,Spring
322,2011-01-14,1,0,1,21,0,5,1,1,52,Spring
323,2011-01-14,1,0,1,22,0,5,1,2,36,Spring
324,2011-01-14,1,0,1,23,0,5,1,2,27,Spring
325,2011-01-15,1,0,1,0,0,6,0,1,28,Spring
326,2011-01-15,1,0,1,1,0,6,0,2,20,Spring
327,2011-01-15,1,0,1,2,0,6,0,2,12,Spring
328,2011-01-15,1,0,1,3,0,6,0,2,8,Spring
329,2011-01-15,1,0,1,4,0,6,0,2,5,Spring
330,2011-01-15,1,0,1,5,0,6,0,1,1,Spring
331,2011-01-15,1,0,1,6,0,6,0,1,3,Spring
332,2011-01-15,1,0,1,7,0,6,0,1,10,Spring
333,2011-01-15,1,0,1,8,0,6,0,1,23,Spring
334,2011-01-15,1,0,1,9,0,6,0,1,33,Spring
335,2011-01-15,1,0,1,10,0,6,0,1,59,Spring
336,2011-01-15,1,0,1,11,0,6,0,1,72,Spring
337,2011-01-15,1,0,1,12,0,6,0,1,89,Spring
338,2011-01-15,1,0,1,13,0,6,0,1,101,Spring
339,2011-01-15,1,0,1,14,0,6,0,1,118,Spring
340,2011-01-15,1,0,1,15,0,6,0,2,129,Spring
341,2011-01-15,1,0,1,16,0,6,0,2,128,Spring
342,2011-01-15,1,0,1,17,0,6,0,2,83,Spring
343,2011-01-15,1,0,1,18,0,6,0,2,84,Spring
344,2011-01-15,1,0,1,19,0,6,0,2,74,Spring
345,2011-01-15,1,0,1,20,0,6,0,2,41,Spring
346,2011-01-15,1,0,1,21,0,6,0,2,57,Spring
347,2011-01-15,1,0,1,22,0,6,0,2,26,Spring
348,2011-01-15,1,0,1,23,0,6,0,1,44,Spring
349,2011-01-16,1,0,1,0,0,0,0,1,39,Spring
350,2011-01-16,1,0,1,1,0,0,0,1,23,Spring
351,2011-01-16,1,0,1,2,0,0,0,1,16,Spring
352,2011-01-16,1,0,1,3,0,0,0,1,15,Spring
353,2011-01-16,1,0,1,4,0,0,0,1,1,Spring
354,2011-01-16,1,0,1,5,0,0,0,2,2,Spring
355,2011-01-16,1,0,1,6,0,0,0,2,1,Spring
356,2011-01-16,1,0,1,7,0,0,0,2,3,Spring
357,2011-01-16,1,0,1,8,0,0,0,1,18,Spring
358,2011-01-16,1,0,1,9,0,0,0,1,32,Spring
359,2011-01-16,1,0,1,10,0,0,0,1,79,Spring
360,2011-01-16,1,0,1,11,0,0,0,1,93,Spring
361,2011-01-16,1,0,1,12,0,0,0,1,104,Spring
362,2011-01-16,1,0,1,13,0,0,0,1,118,Spring
363,2011-01-16,1,0,1,14,0,0,0,1,91,Spring
364,2011-01-16,1,0,1,15,0,0,0,1,113,Spring
365,2011-01-16,1,0,1,16,0,0,0,1,99,Spring
366,2011-01-16,1,0,1,17,0,0,0,1,105,Spring
367,2011-01-16,1,0,1,18,0,0,0,1,67,Spring
368,2011-01-16,1,0,1,19,0,0,0,1,61,Spring
369,2011-01-16,1,0,1,20,0,0,0,1,57,Spring
370,2011-01-16,1,0,1,21,0,0,0,1,28,Spring
371,2011-01-16,1,0,1,22,0,0,0,2,21,Spring
372,2011-01-16,1,0,1,23,0,0,0,2,18,Spring
373,2011-01-17,1,0,1,0,1,1,0,2,17,Spring
374,2011-01-17,1,0,1,1,1,1,0,2,16,Spring
375,2011-01-17,1,0,1,2,1,1,0,2,8,Spring
376,2011-01-17,1,0,1,3,1,1,0,2,2,Spring
377,2011-01-17,1,0,1,4,1,1,0,2,3,Spring
378,2011-01-17,1,0,1,5,1,1,0,2,1,Spring
379,2011-01-17,1,0,1,6,1,1,0,2,5,Spring
380,2011-01-17,1,0,1,7,1,1,0,2,13,Spring
381,2011-01-17,1,0,1,8,1,1,0,2,33,Spring
382,2011-01-17,1,0,1,9,1,1,0,2,47,Spring
383,2011-01-17,1,0,1,10,1,1,0,2,57,Spring
384,2011-01-17,1,0,1,11,1,1,0,2,64,Spring
385,2011-01-17,1,0,1,12,1,1,0,2,80,Spring
386,2011-01-17,1,0,1,13,1,1,0,2,93,Spring
387,2011-01-17,1,0,1,14,1,1,0,2,86,Spring
388,2011-01-17,1,0,1,15,1,1,0,2,93,Spring
389,2011-01-17,1,0,1,16,1,1,0,2,82,Spring
390,2011-01-17,1,0,1,17,1,1,0,1,71,Spring
391,2011-01-17,1,0,1,18,1,1,0,2,92,Spring
392,2011-01-17,1,0,1,19,1,1,0,3,60,Spring
393,2011-01-17,1,0,1,20,1,1,0,3,33,Spring
394,2011-01-17,1,0,1,21,1,1,0,3,27,Spring
395,2011-01-17,1,0,1,22,1,1,0,3,13,Spring
396,2011-01-17,1,0,1,23,1,1,0,3,4,Spring
397,2011-01-18,1,0,1,12,0,2,1,2,3,Spring
398,2011-01-18,1,0,1,13,0,2,1,2,22,Spring
399,2011-01-18,1,0,1,14,0,2,1,2,28,Spring
400,2011-01-18,1,0,1,15,0,2,1,2,35,Spring
401,2011-01-18,1,0,1,16,0,2,1,2,61,Spring
402,2011-01-18,1,0,1,17,0,2,1,2,125,Spring
403,2011-01-18,1,0,1,18,0,2,1,2,133,Spring
404,2011-01-18,1,0,1,19,0,2,1,2,99,Spring
405,2011-01-18,1,0,1,20,0,2,1,2,83,Spring
406,2011-01-18,1,0,1,21,0,2,1,2,41,Spring
407,2011-01-18,1,0,1,22,0,2,1,2,33,Spring
408,2011-01-18,1,0,1,23,0,2,1,2,20,Spring
409,2011-01-19,1,0,1,0,0,3,1,2,3,Spring
410,2011-01-19,1,0,1,1,0,3,1,3,7,Spring
411,2011-01-19,1,0,1,2,0,3,1,3,3,Spring
412,2011-01-19,1,0,1,4,0,3,1,3,2,Spring
413,2011-01-19,1,0,1,5,0,3,1,2,7,Spring
414,2011-01-19,1,0,1,6,0,3,1,2,32,Spring
415,2011-01-19,1,0,1,7,0,3,1,2,90,Spring
416,2011-01-19,1,0,1,8,0,3,1,2,197,Spring
417,2011-01-19,1,0,1,9,0,3,1,2,109,Spring
418,2011-01-19,1,0,1,10,0,3,1,2,47,Spring
419,2011-01-19,1,0,1,11,0,3,1,2,52,Spring
420,2011-01-19,1,0,1,12,0,3,1,2,70,Spring
421,2011-01-19,1,0,1,13,0,3,1,1,78,Spring
422,2011-01-19,1,0,1,14,0,3,1,1,75,Spring
423,2011-01-19,1,0,1,15,0,3,1,1,82,Spring
424,2011-01-19,1,0,1,16,0,3,1,1,104,Spring
425,2011-01-19,1,0,1,17,0,3,1,1,197,Spring
426,2011-01-19,1,0,1,18,0,3,1,1,161,Spring
427,2011-01-19,1,0,1,19,0,3,1,1,112,Spring
428,2011-01-19,1,0,1,20,0,3,1,1,76,Spring
429,2011-01-19,1,0,1,21,0,3,1,1,59,Spring
430,2011-01-19,1,0,1,22,0,3,1,1,59,Spring
431,2011-01-19,1,0,1,23,0,3,1,1,28,Spring
432,2011-01-20,1,0,1,0,0,4,1,1,13,Spring
433,2011-01-20,1,0,1,1,0,4,1,1,5,Spring
434,2011-01-20,1,0,1,2,0,4,1,1,2,Spring
435,2011-01-20,1,0,1,3,0,4,1,1,1,Spring
436,2011-01-20,1,0,1,4,0,4,1,1,1,Spring
437,2011-01-20,1,0,1,5,0,4,1,1,6,Spring
438,2011-01-20,1,0,1,6,0,4,1,1,35,Spring
439,2011-01-20,1,0,1,7,0,4,1,1,101,Spring
440,2011-01-20,1,0,1,8,0,4,1,1,249,Spring
441,2011-01-20,1,0,1,9,0,4,1,2,143,Spring
442,2011-01-20,1,0,1,10,0,4,1,1,57,Spring
443,2011-01-20,1,0,1,11,0,4,1,2,68,Spring
444,2011-01-20,1,0,1,12,0,4,1,2,84,Spring
445,2011-01-20,1,0,1,13,0,4,1,2,98,Spring
446,2011-01-20,1,0,1,14,0,4,1,2,81,Spring
447,2011-01-20,1,0,1,15,0,4,1,2,70,Spring
448,2011-01-20,1,0,1,16,0,4,1,2,91,Spring
